onset	duration	trial_type	amplitude
590.0	1.0	street	0.0
591.0	1.0	street	0.0
592.0	1.0	street	0.0
593.0	1.0	street	0.0
594.0	1.0	street	0.0
595.0	1.0	street	0.0
596.0	1.0	street	0.0
597.0	1.0	street	0.0
598.0	1.0	street	0.0
599.0	1.0	street	0.0
600.0	1.0	street	0.0
601.0	1.0	street	0.0
602.0	1.0	street	0.0
603.0	1.0	street	0.0
604.0	1.0	street	0.0
605.0	1.0	street	0.0
606.0	1.0	street	0.0
607.0	1.0	street	0.0
608.0	1.0	street	0.0
609.0	1.0	street	0.0
610.0	1.0	street	0.0
611.0	1.0	street	0.0
612.0	1.0	street	0.0
613.0	1.0	street	0.0
614.0	1.0	street	0.0
615.0	1.0	street	0.0
616.0	1.0	street	0.0
617.0	1.0	street	0.0
618.0	1.0	street	0.0
619.0	1.0	street	0.0
620.0	1.0	street	0.0
621.0	1.0	street	0.0
622.0	1.0	street	0.0
623.0	1.0	street	0.0
624.0	1.0	street	0.0
625.0	1.0	street	0.0
626.0	1.0	street	0.0
627.0	1.0	street	0.0
628.0	1.0	street	0.0
629.0	1.0	street	0.0
630.0	1.0	street	0.0
631.0	1.0	street	0.0
632.0	1.0	street	1.0
633.0	1.0	street	0.0
634.0	1.0	street	1.0
635.0	1.0	street	0.0
636.0	1.0	street	0.0
637.0	1.0	street	0.0
638.0	1.0	street	1.0
639.0	1.0	street	1.0
640.0	1.0	street	1.0
641.0	1.0	street	1.0
642.0	1.0	street	1.0
643.0	1.0	street	1.0
644.0	1.0	street	1.0
645.0	1.0	street	1.0
646.0	1.0	street	1.0
647.0	1.0	street	0.0
648.0	1.0	street	0.0
649.0	1.0	street	0.0
650.0	1.0	street	0.0
651.0	1.0	street	0.0
652.0	1.0	street	0.0
653.0	1.0	street	0.0
654.0	1.0	street	0.0
655.0	1.0	street	1.0
656.0	1.0	street	0.0
657.0	1.0	street	0.0
658.0	1.0	street	1.0
659.0	1.0	street	0.0
660.0	1.0	street	1.0
661.0	1.0	street	1.0
662.0	1.0	street	1.0
663.0	1.0	street	1.0
664.0	1.0	street	1.0
665.0	1.0	street	0.0
666.0	1.0	street	0.0
667.0	1.0	street	1.0
668.0	1.0	street	1.0
669.0	1.0	street	1.0
670.0	1.0	street	1.0
671.0	1.0	street	1.0
672.0	1.0	street	1.0
673.0	1.0	street	1.0
674.0	1.0	street	0.0
675.0	1.0	street	0.0
676.0	1.0	street	0.0
677.0	1.0	street	0.0
678.0	1.0	street	0.0
679.0	1.0	street	0.0
680.0	1.0	street	0.0
681.0	1.0	street	0.0
682.0	1.0	street	0.0
683.0	1.0	street	0.0
684.0	1.0	street	0.0
685.0	1.0	street	0.0
686.0	1.0	street	0.0
687.0	1.0	street	0.0
688.0	1.0	street	0.0
689.0	1.0	street	0.0
690.0	1.0	street	1.0
691.0	1.0	street	1.0
692.0	1.0	street	0.0
693.0	1.0	street	1.0
694.0	1.0	street	1.0
695.0	1.0	street	1.0
696.0	1.0	street	1.0
697.0	1.0	street	1.0
698.0	1.0	street	1.0
699.0	1.0	street	1.0
700.0	1.0	street	1.0
701.0	1.0	street	0.0
702.0	1.0	street	0.0
703.0	1.0	street	0.0
704.0	1.0	street	1.0
705.0	1.0	street	1.0
706.0	1.0	street	1.0
707.0	1.0	street	1.0
708.0	1.0	street	1.0
709.0	1.0	street	0.0
710.0	1.0	street	0.0
711.0	1.0	street	0.0
712.0	1.0	street	0.0
713.0	1.0	street	0.0
714.0	1.0	street	0.0
715.0	1.0	street	0.0
716.0	1.0	street	0.0
717.0	1.0	street	0.0
718.0	1.0	street	0.0
719.0	1.0	street	0.0
720.0	1.0	street	1.0
721.0	1.0	street	0.0
722.0	1.0	street	0.0
723.0	1.0	street	0.0
724.0	1.0	street	0.0
725.0	1.0	street	0.0
726.0	1.0	street	0.0
727.0	1.0	street	0.0
728.0	1.0	street	0.0
729.0	1.0	street	0.0
730.0	1.0	street	0.0
731.0	1.0	street	0.0
732.0	1.0	street	1.0
733.0	1.0	street	1.0
734.0	1.0	street	0.0
735.0	1.0	street	1.0
736.0	1.0	street	0.0
737.0	1.0	street	0.0
738.0	1.0	street	1.0
739.0	1.0	street	1.0
740.0	1.0	street	0.0
741.0	1.0	street	0.0
742.0	1.0	street	1.0
743.0	1.0	street	0.0
744.0	1.0	street	0.0
745.0	1.0	street	1.0
746.0	1.0	street	0.0
747.0	1.0	street	1.0
748.0	1.0	street	1.0
749.0	1.0	street	1.0
750.0	1.0	street	1.0
751.0	1.0	street	1.0
752.0	1.0	street	1.0
753.0	1.0	street	1.0
754.0	1.0	street	1.0
755.0	1.0	street	1.0
756.0	1.0	street	0.0
757.0	1.0	street	0.0
758.0	1.0	street	0.0
759.0	1.0	street	0.0
760.0	1.0	street	0.0
761.0	1.0	street	1.0
762.0	1.0	street	0.0
763.0	1.0	street	0.0
764.0	1.0	street	0.0
765.0	1.0	street	1.0
766.0	1.0	street	0.0
767.0	1.0	street	0.0
768.0	1.0	street	0.0
769.0	1.0	street	0.0
770.0	1.0	street	0.0
771.0	1.0	street	0.0
772.0	1.0	street	0.0
773.0	1.0	street	0.0
774.0	1.0	street	0.0
775.0	1.0	street	0.0
776.0	1.0	street	0.0
777.0	1.0	street	0.0
778.0	1.0	street	0.0
779.0	1.0	street	0.0
780.0	1.0	street	0.0
781.0	1.0	street	0.0
782.0	1.0	street	0.0
783.0	1.0	street	0.0
784.0	1.0	street	0.0
785.0	1.0	street	0.0
786.0	1.0	street	0.0
787.0	1.0	street	0.0
788.0	1.0	street	0.0
789.0	1.0	street	0.0
790.0	1.0	street	0.0
791.0	1.0	street	0.0
792.0	1.0	street	0.0
793.0	1.0	street	0.0
794.0	1.0	street	0.0
795.0	1.0	street	0.0
796.0	1.0	street	0.0
797.0	1.0	street	0.0
798.0	1.0	street	0.0
799.0	1.0	street	0.0
800.0	1.0	street	0.0
801.0	1.0	street	0.0
802.0	1.0	street	0.0
803.0	1.0	street	0.0
804.0	1.0	street	0.0
805.0	1.0	street	0.0
806.0	1.0	street	0.0
807.0	1.0	street	0.0
808.0	1.0	street	0.0
809.0	1.0	street	0.0
810.0	1.0	street	0.0
811.0	1.0	street	0.0
812.0	1.0	street	0.0
813.0	1.0	street	0.0
814.0	1.0	street	0.0
815.0	1.0	street	0.0
816.0	1.0	street	0.0
817.0	1.0	street	1.0
818.0	1.0	street	1.0
819.0	1.0	street	0.0
820.0	1.0	street	0.0
821.0	1.0	street	0.0
822.0	1.0	street	0.0
823.0	1.0	street	0.0
824.0	1.0	street	0.0
825.0	1.0	street	0.0
826.0	1.0	street	0.0
827.0	1.0	street	0.0
828.0	1.0	street	0.0
829.0	1.0	street	0.0
830.0	1.0	street	0.0
831.0	1.0	street	0.0
832.0	1.0	street	0.0
833.0	1.0	street	0.0
834.0	1.0	street	0.0
835.0	1.0	street	0.0
836.0	1.0	street	0.0
837.0	1.0	street	0.0
838.0	1.0	street	0.0
839.0	1.0	street	0.0
840.0	1.0	street	0.0
841.0	1.0	street	0.0
842.0	1.0	street	0.0
843.0	1.0	street	0.0
844.0	1.0	street	0.0
845.0	1.0	street	0.0
846.0	1.0	street	0.0
847.0	1.0	street	0.0
848.0	1.0	street	0.0
849.0	1.0	street	0.0
850.0	1.0	street	0.0
851.0	1.0	street	0.0
852.0	1.0	street	0.0
853.0	1.0	street	0.0
854.0	1.0	street	0.0
855.0	1.0	street	0.0
856.0	1.0	street	0.0
857.0	1.0	street	0.0
858.0	1.0	street	0.0
859.0	1.0	street	0.0
860.0	1.0	street	1.0
861.0	1.0	street	0.0
862.0	1.0	street	0.0
863.0	1.0	street	0.0
864.0	1.0	street	0.0
865.0	1.0	street	0.0
866.0	1.0	street	0.0
867.0	1.0	street	0.0
868.0	1.0	street	0.0
869.0	1.0	street	0.0
870.0	1.0	street	0.0
871.0	1.0	street	0.0
872.0	1.0	street	0.0
873.0	1.0	street	0.0
874.0	1.0	street	0.0
875.0	1.0	street	0.0
876.0	1.0	street	0.0
877.0	1.0	street	0.0
878.0	1.0	street	0.0
879.0	1.0	street	0.0
880.0	1.0	street	0.0
881.0	1.0	street	0.0
882.0	1.0	street	0.0
883.0	1.0	street	0.0
884.0	1.0	street	0.0
885.0	1.0	street	0.0
886.0	1.0	street	0.0
887.0	1.0	street	0.0
888.0	1.0	street	0.0
889.0	1.0	street	0.0
890.0	1.0	street	0.0
891.0	1.0	street	0.0
892.0	1.0	street	0.0
893.0	1.0	street	0.0
894.0	1.0	street	0.0
895.0	1.0	street	0.0
896.0	1.0	street	0.0
897.0	1.0	street	0.0
898.0	1.0	street	0.0
899.0	1.0	street	0.0
900.0	1.0	street	0.0
0.0	1.0	outdoors	0.0
1.0	1.0	outdoors	0.0
2.0	1.0	outdoors	0.0
3.0	1.0	outdoors	0.0
4.0	1.0	outdoors	0.0
5.0	1.0	outdoors	0.0
6.0	1.0	outdoors	0.0
7.0	1.0	outdoors	0.0
8.0	1.0	outdoors	0.0
9.0	1.0	outdoors	0.0
10.0	1.0	outdoors	0.0
11.0	1.0	outdoors	0.0
12.0	1.0	outdoors	0.0
13.0	1.0	outdoors	0.0
14.0	1.0	outdoors	0.0
15.0	1.0	outdoors	0.0
16.0	1.0	outdoors	0.0
17.0	1.0	outdoors	0.0
18.0	1.0	outdoors	0.0
19.0	1.0	outdoors	0.0
20.0	1.0	outdoors	0.0
21.0	1.0	outdoors	0.0
22.0	1.0	outdoors	1.0
23.0	1.0	outdoors	1.0
24.0	1.0	outdoors	1.0
25.0	1.0	outdoors	0.0
26.0	1.0	outdoors	0.0
27.0	1.0	outdoors	0.0
28.0	1.0	outdoors	0.0
29.0	1.0	outdoors	0.0
30.0	1.0	outdoors	0.0
31.0	1.0	outdoors	0.0
32.0	1.0	outdoors	0.0
33.0	1.0	outdoors	0.0
34.0	1.0	outdoors	0.0
35.0	1.0	outdoors	0.0
36.0	1.0	outdoors	0.0
37.0	1.0	outdoors	1.0
38.0	1.0	outdoors	0.0
39.0	1.0	outdoors	0.0
40.0	1.0	outdoors	0.0
41.0	1.0	outdoors	0.0
42.0	1.0	outdoors	0.0
43.0	1.0	outdoors	0.0
44.0	1.0	outdoors	0.0
45.0	1.0	outdoors	0.0
46.0	1.0	outdoors	0.0
47.0	1.0	outdoors	0.0
48.0	1.0	outdoors	0.0
49.0	1.0	outdoors	0.0
50.0	1.0	outdoors	0.0
51.0	1.0	outdoors	0.0
52.0	1.0	outdoors	0.0
53.0	1.0	outdoors	0.0
54.0	1.0	outdoors	0.0
55.0	1.0	outdoors	0.0
56.0	1.0	outdoors	0.0
57.0	1.0	outdoors	0.0
58.0	1.0	outdoors	0.0
59.0	1.0	outdoors	0.0
60.0	1.0	outdoors	0.0
61.0	1.0	outdoors	0.0
62.0	1.0	outdoors	0.0
63.0	1.0	outdoors	0.0
64.0	1.0	outdoors	0.0
65.0	1.0	outdoors	0.0
66.0	1.0	outdoors	0.0
67.0	1.0	outdoors	0.0
68.0	1.0	outdoors	0.0
69.0	1.0	outdoors	0.0
70.0	1.0	outdoors	0.0
71.0	1.0	outdoors	0.0
72.0	1.0	outdoors	0.0
73.0	1.0	outdoors	0.0
74.0	1.0	outdoors	0.0
